sample_index,sample_id,relative_json_path,sessions,turns,attachments,qa,source_json_sha256
11,eb_alfred_complex_instruction_03,agent/embodied/eb_alfred_complex_instruction/eb_alfred_complex_instruction_03.json,11,42,21,55,403cf7b1b014403d87fa883aa922c099901cefe8648abb61e0200e26b165f53e
12,eb_alfred_complex_instruction_04,agent/embodied/eb_alfred_complex_instruction/eb_alfred_complex_instruction_04.json,9,36,18,51,81ffb7ba93b49edef6d1b3e54a0bc230bdb86a7f77d22ffc4d6f66da90c2702c
13,eb_alfred_long_horizon_01,agent/embodied/eb_alfred_long_horizon/eb_alfred_long_horizon_01.json,15,58,29,55,c2972dd295ec629483ac060cf5f87b8b42aeba6d9ac8ac52dc86d58377642382
14,eb_alfred_long_horizon_02,agent/embodied/eb_alfred_long_horizon/eb_alfred_long_horizon_02.json,14,54,27,54,e85a1ce9f582cfd94073f825afe5cfaf754ddad90dfe57066f6247b05042432c
15,eb_alfred_long_horizon_03,agent/embodied/eb_alfred_long_horizon/eb_alfred_long_horizon_03.json,14,56,28,54,297d087aaa2db32f1977a38d017d4ddce12cc09237e7dab3cbd88049b09b1954
16,eb_alfred_long_horizon_04,agent/embodied/eb_alfred_long_horizon/eb_alfred_long_horizon_04.json,14,56,28,55,11f6cf9e5424da40f381a121127ba59f92a4846cba3dbc70c79881e53f57662a
17,eb_alfred_visual_appearance_01,agent/embodied/eb_alfred_visual_appearance/eb_alfred_visual_appearance_01.json,12,46,23,52,5359be0013eecfb5e27503f1966721b4d1fd47367d9f022d2a74b3b2e1d7cd0d
18,eb_alfred_visual_appearance_02,agent/embodied/eb_alfred_visual_appearance/eb_alfred_visual_appearance_02.json,10,40,20,55,79cdfb538838a830493a129aa197a8514697799f1efab2df5b6143ce2ea1bf3d
19,eb_alfred_visual_appearance_03,agent/embodied/eb_alfred_visual_appearance/eb_alfred_visual_appearance_03.json,9,36,18,54,855fa8a53833a57a80c5c69630066bfc1f4e18135ae0abe666ff227884622338
20,eb_nav_base_01,agent/embodied/eb_nav_base/eb_nav_base_01.json,9,36,18,54,aa795e09e54dfe09c393f6fac227a21bc00f0e13162b4f0c6171772eb86ac8a0
21,eb_nav_base_02,agent/embodied/eb_nav_base/eb_nav_base_02.json,10,38,19,54,d560f0b8d67fd178f8a5d9e8c1f265f422cc852d8c1ca8ee156949559772a8f5
22,eb_nav_base_03,agent/embodied/eb_nav_base/eb_nav_base_03.json,9,36,18,55,416d8b65b974ac8adf1976158edf54d2a7460ab574366e7bc0d2279d379c06f9
23,eb_nav_base_04,agent/embodied/eb_nav_base/eb_nav_base_04.json,10,40,20,54,012241f085b9d0330031d876c46ee6c4fe9df51e78e3fa4ecd8d952e2f59374a
24,eb_nav_common_sense_01,agent/embodied/eb_nav_common_sense/eb_nav_common_sense_01.json,10,38,19,54,3db719ded9e4326d924796e28f290592cb2954293082b52a3bb225c801818319
25,eb_nav_common_sense_02,agent/embodied/eb_nav_common_sense/eb_nav_common_sense_02.json,10,38,19,54,373ac0a07088829ea1a07a1a2a2945efd9661ac823e37aeefc905e0e32614dc1
26,eb_nav_common_sense_03,agent/embodied/eb_nav_common_sense/eb_nav_common_sense_03.json,10,38,19,54,4b30785199085fe7b662babf19c214974668769d63d98cc4002c90aacf84a4d5
27,eb_nav_common_sense_04,agent/embodied/eb_nav_common_sense/eb_nav_common_sense_04.json,10,40,20,55,36b128491b42f507821968445ba3aa4d0d7bfbf62bf77288908b1b2b6023aab0
28,eb_nav_complex_instruction_01,agent/embodied/eb_nav_complex_instruction/eb_nav_complex_instruction_01.json,9,36,18,53,81366a505abe800330173f50f51f2db8936f504d6a171c2e8ce50cc19c7c1386
29,eb_nav_complex_instruction_02,agent/embodied/eb_nav_complex_instruction/eb_nav_complex_instruction_02.json,10,38,19,53,4b77ce45fbe59d11647b299e2dc3216e6f48e45688aa4564702e9eef92eb3e0a
30,eb_nav_complex_instruction_03,agent/embodied/eb_nav_complex_instruction/eb_nav_complex_instruction_03.json,9,36,18,54,df26c94aa647f3da78562e7a52420907732032a6f94ed0977baebba6a1de5f87
31,eb_nav_complex_instruction_04,agent/embodied/eb_nav_complex_instruction/eb_nav_complex_instruction_04.json,9,36,18,54,75b158394a4e2f6fc5bd601cf90679f390721db656921d42efca02950b97ad89
32,eb_nav_long_horizon_01,agent/embodied/eb_nav_long_horizon/eb_nav_long_horizon_01.json,10,40,20,53,bedda8e0917d15260b42d6318b7385c7fd38eab7d466d1dc6f6e5854a96954dc
33,eb_nav_long_horizon_02,agent/embodied/eb_nav_long_horizon/eb_nav_long_horizon_02.json,10,38,19,54,1a916648f12684eee2633adf6cc15d87a4be1f5197983c42f5e3db2a70a98239
34,eb_nav_long_horizon_03,agent/embodied/eb_nav_long_horizon/eb_nav_long_horizon_03.json,10,40,20,54,bc01c690ea6795ce6e432158bb52c4a53f3671164c5a59473b4f242071c4c39d
35,eb_nav_long_horizon_04,agent/embodied/eb_nav_long_horizon/eb_nav_long_horizon_04.json,9,36,18,48,7b6200f8cfd52d863ec25f8735fffe264e78116faf080ae4fa8a87d6639c096a
36,eb_nav_long_horizon_05,agent/embodied/eb_nav_long_horizon/eb_nav_long_horizon_05.json,9,34,17,53,24bc37d5d5298579f6574ea03ce2170d15cc5c03fe4c2b67bb6a6227bd6da95e
37,eb_nav_visual_appearance_01,agent/embodied/eb_nav_visual_appearance/eb_nav_visual_appearance_01.json,10,40,20,55,599fb72c4c1dc57c3abde04f03dcc3885e7df99b75f325f51cd94287f82162d5
38,eb_nav_visual_appearance_02,agent/embodied/eb_nav_visual_appearance/eb_nav_visual_appearance_02.json,10,38,19,52,d1d507b01fd1a4f2050e2d14be45530e8a21650e16f6dba6204100b85794bed6
39,eb_nav_visual_appearance_03,agent/embodied/eb_nav_visual_appearance/eb_nav_visual_appearance_03.json,10,40,20,55,2dd17bc8c7ccf7d7b5b9874f447985724d39a57811b7c5ac3891d1497f789d2c
40,eb_nav_visual_appearance_04,agent/embodied/eb_nav_visual_appearance/eb_nav_visual_appearance_04.json,10,40,20,54,ca64f0726971d8a4f9357b2cd8fc59dedb9e93ae6f7fcc1e842275edc310431c
41,minecraft_01,agent/embodied/minecraft/minecraft_01.json,15,60,30,55,441fe0ab9fd6f4ea127ac274454679350f0bf90db2ac2108bd5be1e021f2feb7
42,minecraft_02,agent/embodied/minecraft/minecraft_02.json,15,60,30,55,10c9eb552d737f5635977afe4e82f7cb104a43a7a3b71e73bc09cb835842aca1
43,minecraft_03,agent/embodied/minecraft/minecraft_03.json,13,52,26,54,e54c76e6f6327d11fe6cc11b091a79997c3383e8aff2cece8447f9475bc9d98b
44,minecraft_04,agent/embodied/minecraft/minecraft_04.json,13,50,25,55,6f0cf1c34de92dbfd365242d9089e456f15c7f0ef7c110abf44dd836332239dc
45,minecraft_05,agent/embodied/minecraft/minecraft_05.json,13,50,25,55,4db2995ba9ebb85c6d65391fb74b01746d3a2f0ed4e19e01c0a1dfe38631e6d0
46,minecraft_06,agent/embodied/minecraft/minecraft_06.json,19,74,37,54,960a369a2487ca8f9cc604d3b691e70c6dea157427159749c2462924766d8c04
47,minecraft_07,agent/embodied/minecraft/minecraft_07.json,17,66,33,55,b6543df9dcd10f811d774a54ca6d9793dd07e19768ac7c420369acb98fedc758
48,minecraft_08,agent/embodied/minecraft/minecraft_08.json,14,56,28,54,81eba07623808e3a570f8027613a50be1ed13c9396acd31cedf904ee2b7ca444
49,minecraft_09,agent/embodied/minecraft/minecraft_09.json,16,64,32,55,128500d4fb04a307780ff142c2703441d43a212318709fa6138f793c5184e6bd
50,minecraft_10,agent/embodied/minecraft/minecraft_10.json,16,64,32,55,b6dfe47f16c7b9c746024ca33c1fc3eb5efdbf1518787021ad6a82c13b546717
51,minecraft_11,agent/embodied/minecraft/minecraft_11.json,14,56,28,54,3ba834dc08ca0417523fb886375d367bd45e8ae8fcaa49dc3d3a887fc04cde45
52,minecraft_12,agent/embodied/minecraft/minecraft_12.json,13,50,25,55,285a5a9ceb36be2d8ed9d98ebf98381b819af00e85188a326a3a582f0720a8bd
53,minecraft_13,agent/embodied/minecraft/minecraft_13.json,18,70,35,53,6bd9b1565562fc45b2e8b1830308ffe9d69d6284da4ef1e88b1c81ead88f82fd
54,omnigibson_01,agent/embodied/omnigibson/omnigibson_01.json,26,102,51,53,66333fa05c2ad8a31984322f06cf2f275e0ffb26b9ab748e14203a640cc26b7b
55,omnigibson_02,agent/embodied/omnigibson/omnigibson_02.json,27,108,54,55,8d8f67ab51ccbd70a2970c9ad1622f2378208228c43aa1d00b36308ac73bc472
56,omnigibson_03,agent/embodied/omnigibson/omnigibson_03.json,28,110,55,55,9a0d92aec62dedd4939a2b5956c8c7394e9f1d57569f547859698e43a8c34a23
57,omnigibson_04,agent/embodied/omnigibson/omnigibson_04.json,29,114,57,55,e47ba5ae4628f6122b2cb53216e1abccb7e1bd27be345e9b73d0351ddaf7e6dd
58,omnigibson_05,agent/embodied/omnigibson/omnigibson_05.json,25,98,49,55,48589503eca3db63f104c5da4fb59eb53456967e680f825abc98a923f5661605
59,omnigibson_06,agent/embodied/omnigibson/omnigibson_06.json,28,110,55,51,4c67647e80cf134d81134f9ec7f91b8e952fa5a48b849034ffba74518996e5af
60,omnigibson_07,agent/embodied/omnigibson/omnigibson_07.json,30,118,59,54,c80d9c8e8c39b0f6bc7e582c01a7ad20495b1c750873dc8de59a0fafa225758b
61,omnigibson_08,agent/embodied/omnigibson/omnigibson_08.json,26,104,52,54,537cfe3371f4c3b4de879658b3d9f873631e619f82d85f337590a54c97c28fee
62,omnigibson_09,agent/embodied/omnigibson/omnigibson_09.json,25,100,50,55,e240fdb4f85403e8dff85eca43bfc7cc33078d8873ace24178ac2abe801dbc74
63,omnigibson_10,agent/embodied/omnigibson/omnigibson_10.json,24,96,48,55,11619522325b823b32e767c7b4848839a83ebd91d0b79e19265442b2f61f62c5
64,omnigibson_11,agent/embodied/omnigibson/omnigibson_11.json,29,116,58,54,b51e41a8da286c73ef63974317bfb54fede87d78b4a68e63e724101103c0d746
65,omnigibson_12,agent/embodied/omnigibson/omnigibson_12.json,34,134,67,55,fccf32774534a81ec769657ebb08883b9f194955f4cf69bdbfc779dc4ba129c4
66,omnigibson_13,agent/embodied/omnigibson/omnigibson_13.json,25,98,49,55,4e71bea857f8a93ad011289834ca1b0ea81584b8255a1674dd21a301aaa26309
67,omnigibson_14,agent/embodied/omnigibson/omnigibson_14.json,43,172,86,55,b7e476274824d72be28d3412bac99b180e33ce6e16e8c8944973fe7c6d5790f4
68,omnigibson_15,agent/embodied/omnigibson/omnigibson_15.json,25,98,49,54,1e86423f67f1c821339a4183d253b61712952d1fcee2a5e7ade47fa1c28097a9
69,omnigibson_16,agent/embodied/omnigibson/omnigibson_16.json,27,106,53,53,c08ae4c7ab11afef8cbf9f17aa382f5cd3be9a1cea29cdc340a3620756f682a0
70,css_01,agent/gui/css/css_01.json,6,24,12,51,ce642d7955a019f396ee02234afc79222e6bdeb8ae549cc825dfd1a8721ec45b
71,css_02,agent/gui/css/css_02.json,6,22,11,50,4ce09cfbf82880b5bbb01a25f97ca431915365aa61022c5ca62a57bd3f1418d3
72,css_03,agent/gui/css/css_03.json,6,24,12,52,418f9c9118ca8558d8f2c515dab062345d87a5c27152ef1b1c56e66e957f1f59
73,css_04,agent/gui/css/css_04.json,7,26,13,52,93bd82e018604e4f649ab92313b6b7d80f30861b1670ae62cb8be3e2bf1a3692
74,css_05,agent/gui/css/css_05.json,6,22,11,50,22f911caab793f395a19625db9e1073ba3c2f400c2c1f21f73cfde063a93831d
75,css_06,agent/gui/css/css_06.json,6,24,12,51,1c4aa4fc22c8edd35063d6f25c37d0fb9e072f532b8ce20ffe20e5e4ca310327
76,css_07,agent/gui/css/css_07.json,7,26,13,51,d2b08b16bb1fb8a261390ca2f7b7899abfc9280079f921c1eb44eddf9f3ad5c7
77,css_08,agent/gui/css/css_08.json,6,22,11,51,8227b534efe3f912cd054308cbe74015f975f39bb6610b5e5a2a0ddbfb2f45be
78,excel_01,agent/gui/excel/excel_01.json,25,98,14,54,676b4bb231dd65341a5f10a290494eb61fa477af7e92a3eb12a807dc41826827
79,excel_02,agent/gui/excel/excel_02.json,25,98,17,55,edfa62ca7fc145e4fd96ed02d857b0c5586a4334a40703add4b89579fc149225
80,excel_03,agent/gui/excel/excel_03.json,25,100,50,43,a77c86f77bd0a841366efdc534c3974357902e2f6d0db87245de73fb55b9f6f9
81,excel_04,agent/gui/excel/excel_04.json,25,98,12,54,45edc1618cfe0cb81889a568758d88411af5aca61ffcf1be45764c804d4b789f
82,excel_05,agent/gui/excel/excel_05.json,25,100,50,51,3934be7b0b5ef7f4ef6de0a888459758669dee449c20095cef61eb9335863f12
83,excel_06,agent/gui/excel/excel_06.json,25,98,3,54,af38ccb0cef126524bb2047f2c157f304c1750324bc6c4ec3090ae1218006774
84,file_mgmt_01,agent/gui/file_mgmt/file_mgmt_01.json,25,100,50,54,9fac5e332c1670cfef3c3ec54b47c2932f621fc499bd27fa7e2bb4ac832920cc
85,file_mgmt_02,agent/gui/file_mgmt/file_mgmt_02.json,25,98,13,55,b0babbf96f6ccbe46d1d71575bd24366dd08e9167010de8cf9c5f4e495f88efb
86,file_mgmt_03,agent/gui/file_mgmt/file_mgmt_03.json,25,98,14,54,591401765e0ecf8d6b2baac28d016b312c9d98e2510da78bc78ebdb706db8dc0
87,file_mgmt_04,agent/gui/file_mgmt/file_mgmt_04.json,25,98,10,55,1a9732e1abbcf284bee9e3ac3f1654fe82d73925c26a708999170b307859669d
88,file_mgmt_05,agent/gui/file_mgmt/file_mgmt_05.json,25,100,50,55,1890601ecbc30a0da081fdae1866327c42eb731f281eb50c22258b49dd08659f
89,image_edit_01,agent/gui/image_edit/image_edit_01.json,25,100,50,38,c9e54cd38d3b0cd45d8233dfe656826a7ea8ab78c490b30f86650a81cc1dfdcb
90,image_edit_02,agent/gui/image_edit/image_edit_02.json,25,100,7,53,eb96daaad41d2a1ca5b4437587a03d0e68cf013921e4d71c4c449040a303d5e5
91,image_edit_03,agent/gui/image_edit/image_edit_03.json,51,202,100,55,27c6be9fcfdfce94c48083fb5a5a3b49fd5966db85c89c46e06e8cb5d71fe00d
92,image_edit_04,agent/gui/image_edit/image_edit_04.json,25,100,50,54,a6a59da04cc2426c6ca4674b795f44fb74925ac02a6234cb4ea54b621c692ea5
93,image_edit_05,agent/gui/image_edit/image_edit_05.json,25,100,50,55,3ee59cb63a5e5771152bcf78ba85496f8c59573c55579922c6c93f7d0b028d24
94,image_edit_06,agent/gui/image_edit/image_edit_06.json,25,98,6,54,6dffde050dabd03de419f88bc373a21fdb7d93d124be4b607d0ad178a03bae26
95,image_edit_07,agent/gui/image_edit/image_edit_07.json,25,100,50,55,b0d0d9c0f2d26ef840a9c9de64b11b6e5faf8be9bc3b34553f3a38d0261c8df8
96,mobile_01,agent/gui/mobile/mobile_01.json,12,46,23,24,3ffa1826c2a40595cf73f315deb8f78cacd5151b5489f617a1d383b97ba9f098
97,mobile_02,agent/gui/mobile/mobile_02.json,13,52,26,41,0ff931efc9d9c972805dd2864309a132fff168a34fc17e850a61f8a8c99903d0
98,mobile_03,agent/gui/mobile/mobile_03.json,13,52,26,45,d50d590631f05f41eef8e6eca843290699041143061fb598d341d80e50d11473
99,mobile_04,agent/gui/mobile/mobile_04.json,13,50,25,47,625d23889c2191c8811c4f016f1ebdec32c40b8ae6e903ec5be845d6db812919
100,mobile_05,agent/gui/mobile/mobile_05.json,11,42,21,13,abcbb3f234e49c03ab527a38d90b1f00f283302e8a2475098d0dea79bfe15644
101,mobile_06,agent/gui/mobile/mobile_06.json,16,64,32,44,5cfa7d7539abc6ec8e46a6d38177f56bf8657ba5a7287544162e73b46403d6d6
102,mobile_07,agent/gui/mobile/mobile_07.json,12,46,23,43,1ae18f74e3a4a78161a76fd6728a4987aadae58c43e199af1b8ae6b1f813808d
103,mobile_08,agent/gui/mobile/mobile_08.json,11,44,22,32,aad57c4867ea2fd6177bfa18140dcbe86a083904fae7534f47a4f75690ab716a
104,web_01,agent/gui/web/web_01.json,25,98,14,53,d8f05db15210b1285889869b4004c2e27af6e2e23e6bfdb7ba9e81f62e2082a3
105,web_02,agent/gui/web/web_02.json,25,98,49,55,b73ef5b04c7dc351bc2c5f6212b3567d705972e2204828a3cd23d23ead7ecde3
106,web_03,agent/gui/web/web_03.json,25,100,50,55,ee5e6396041a67fee4804729bcdde88faa11a49a2c0868241bd8ad9e46d78f7f
107,web_04,agent/gui/web/web_04.json,25,98,5,54,b92b50b94876da4f26e3f5037d5e2bdae29c3b042428a21eb6a257aa1373b0b7
108,web_05,agent/gui/web/web_05.json,25,98,11,55,246b0374d30aaae9ba5e22f90b2a684f1c8c87fc44d376ecea04ed57dc14239f
109,web_06,agent/gui/web/web_06.json,25,98,19,55,bbba60af16f298e79fc6b52bcd0069e513bd990f4b450ac48b7f94c5419560e7
110,webarena_lite_01,agent/gui/webarena_lite/webarena_lite_01.json,14,54,27,53,e0759d20fd82cbaf85c458879d4c1eb72577c719254a166b5a4debcddfd190a2
111,webarena_lite_02,agent/gui/webarena_lite/webarena_lite_02.json,12,46,23,54,de086a680d1ccf54e17162f856235eb600ddd8adf5f7b6953f3a3c84cf2c4832
112,webarena_lite_03,agent/gui/webarena_lite/webarena_lite_03.json,10,40,20,54,34b8a4743007791a09d688047d02f25ef5e453d7b9fd5c745aeddeaba86177a6
113,webarena_lite_04,agent/gui/webarena_lite/webarena_lite_04.json,9,36,18,54,eb08f82005ee408338cfed20840ffd84d040877fd176e9bf892833b87d2abe59
114,webarena_lite_05,agent/gui/webarena_lite/webarena_lite_05.json,9,36,18,53,2619cca1fbdc6742b60dddb75a144e32be2781cdc31af7ef807b0a138b6c3e88
115,webarena_lite_06,agent/gui/webarena_lite/webarena_lite_06.json,9,36,18,53,5dee103d83d940bcfec46106ba1f3cd7198eb8646f0ba317ca85a84c35486640
116,webarena_lite_07,agent/gui/webarena_lite/webarena_lite_07.json,9,36,18,51,f501a86abde32d6c1629cd1257153a3e3dc478e3e97a058d708100c2c0863070
117,webarena_lite_08,agent/gui/webarena_lite/webarena_lite_08.json,9,36,18,53,e9dc343e1cbf6f868c517f832aa2beb04197b9bacfa3580f07552a5131b2a428
118,webarena_lite_09,agent/gui/webarena_lite/webarena_lite_09.json,9,36,18,54,4bdaa1609e965692c6505a3c710946fcc748fc1960ffa1efb3c46f4a214373ab
119,webarena_lite_10,agent/gui/webarena_lite/webarena_lite_10.json,9,36,18,54,118488965bbdc8e28fc452fb0c491096ae1830fed82881efa90b9dfae8991a1d
120,webarena_lite_11,agent/gui/webarena_lite/webarena_lite_11.json,9,36,18,54,e973c063dbf388c347a7c1efd2a5a3e9fb6db8f07e1744fde1c1171ac8e9acfa
121,webarena_lite_12,agent/gui/webarena_lite/webarena_lite_12.json,9,34,17,52,52bbf2182d9d989a12d25154c3a92d0664fbd592dd09c262260eedff5fcf83ba
122,webarena_lite_13,agent/gui/webarena_lite/webarena_lite_13.json,10,38,19,51,9eadb9a76702bc923810f1c4475d94603e0fbe16d3d11765358943f3a43dee15
123,webarena_lite_14,agent/gui/webarena_lite/webarena_lite_14.json,11,42,21,52,782515a990b0d50c8e42f1788befe60449e3790c8ccf45553117cba71dc4a6f2
124,webarena_lite_15,agent/gui/webarena_lite/webarena_lite_15.json,16,62,31,50,366124ccee2a5a86f65e075ae06ac2a2169cf48624a2c641e8cb399866b3546d
125,word_docs_01,agent/gui/word_docs/word_docs_01.json,25,100,50,55,2e69baf668bdc8d8d47355f0b70cb395a9dc7b34005e8b865c939b3b78371c5f
126,word_docs_02,agent/gui/word_docs/word_docs_02.json,25,98,17,53,93ff0ae640bcd1f5f4bd19f1671b7483d362b3d83ccdbfc54cfedddc12ae09ee
127,word_docs_03,agent/gui/word_docs/word_docs_03.json,25,98,13,54,f03f7861f23d675c70d517492344a83f3cdc21c4b4629a176f5e2017848714e0
128,word_docs_04,agent/gui/word_docs/word_docs_04.json,25,100,50,55,0d3fd2af22b9e460201c0b1a008de37f585c0fb1ab4e41c917d56ca485d0917d
129,word_docs_05,agent/gui/word_docs/word_docs_05.json,25,98,13,52,a7816216b32f40b16fe59289a036e03902e21c74fd1ab19b208dbb5da08410cc
130,word_docs_06,agent/gui/word_docs/word_docs_06.json,25,98,7,55,b3404aa7d4f2a6034a9de29c4eed76d4910fa8faab8b08e4af85659c76b78b18
131,personal_01,lifelong/personal/personal_01.json,30,804,94,55,2329f25cd0a3a2d2ff3ea5bbc67ae87e6131e1ece1953708f1ff9aab9fa78fc8
132,personal_02,lifelong/personal/personal_02.json,30,818,88,55,8b924d631bd7b8a10884af00d72e665861c94faa8a5c9962262290069284e715
133,personal_03,lifelong/personal/personal_03.json,30,810,94,55,b8ab7482c6a7ae050a7ae9e2cad29c355fdb9bb4cec46ad21584da3d0f2eec3b
134,personal_04,lifelong/personal/personal_04.json,30,816,89,55,5c77a29696cfa222c27cff4cd6b08275a841b4029ca60caede56be5bfdd10ed5
135,personal_05,lifelong/personal/personal_05.json,30,796,95,55,67d011c5c60222fa902ff76eb7375122486f366a5c801586a3ccd916945c002c
136,personal_06,lifelong/personal/personal_06.json,30,800,87,55,1a3b772499723e8f3a82941185dae0b35470bd88ca4b2ad2843f9b16fb8a1eae
137,personal_07,lifelong/personal/personal_07.json,30,824,83,55,4efb4b570d0422cc5551f19a4b2a9746e0560f78f42d3296f28bb5fe9cbd22b1
138,personal_08,lifelong/personal/personal_08.json,30,814,97,55,2cd5bad1c01186e796413355bc21a4f65055196688aa3d0afd57c1322b2cb47b
139,academic_01,lifelong/project/academic/academic_01.json,30,808,96,55,844b0fca04949603403ba967cb0afcc324db5054e07a3ed6b6faf74db5eb4197
140,academic_02,lifelong/project/academic/academic_02.json,30,806,98,55,d21b8742fe06f9abdb34c0e0297888591d1ee0cc326add71ed1689b00d44372e
141,education_01,lifelong/project/education/education_01.json,30,822,81,55,72b887b39adebdf148913394a297a0ce2b1ed7190b3038eadd39ac2bb8928ba0
142,education_02,lifelong/project/education/education_02.json,30,806,91,55,c82445e07d457ef053db6cc8c98220382a36bfec54b88b7c2942587590008f1b
143,finance_01,lifelong/project/finance/finance_01.json,30,814,87,55,ed5d251fceef6e5a00176cc2d03633514f2eaf2639f483cb7bf23e5705f56fee
144,finance_02,lifelong/project/finance/finance_02.json,30,816,85,55,b448c9abdaba17ad23a857542d29be67000b07d5f751108547e4c70808ccfff8
145,health_01,lifelong/project/health/health_01.json,30,800,87,55,7c06d45a7844fadbe6cf9008b416d34f36dcc46dd69eb6c089b9e7e47c08d008
146,health_02,lifelong/project/health/health_02.json,30,824,88,55,38c59825e3fa11c22a74086e437644ceafafa1239103048214cbda7c7dc5c0a7
147,software_01,lifelong/project/software/software_01.json,30,800,87,55,e239c274d13afbdc57f3ad3eeb20f71e7b996b6a63402752328914a6c2c86536
148,software_02,lifelong/project/software/software_02.json,30,814,86,55,4ab37969af55e2f8db028239f6046f9e295c6e720751a66e6ca672245bb93431
149,startup_01,lifelong/project/startup/startup_01.json,30,798,87,55,7d2f000ff07e9eccb981d7dfed4a11d69694b423cd301b30e5c739c270bc3915
150,startup_02,lifelong/project/startup/startup_02.json,30,818,92,55,b8cd47bb97a14cf7461fa18b12a5655556cffa83bcc140ed651b2210afa2b9cb
