benchmark,protocol_id,n,method_id,metric,value,direction,source_type,source_locator,source_commit,comparison_eligibility,notes
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,universalrag,answer_f1,0.6827,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Modality and granularity routing
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,universalrag,llm_judge_score,0.8016,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Modality and granularity routing
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,ngm,answer_f1,0.6691,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Neural graph memory
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,ngm,llm_judge_score,0.7861,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Neural graph memory
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,augustus,answer_f1,0.6610,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Concept-driven hierarchy
mem-gallery,mem-gallery-table4-qwen2.5-vl-7b-k10,1711,augustus,llm_judge_score,0.7797,higher,paper_table,Mem-Gallery Table 4,a93959e1e978a6a7d77798ae92c2ffe41c538c62,source_only,Concept-driven hierarchy
mem-gallery,v-mem-readme-gpt4o-mini-judge,1711,omni-simplemem,llm_judge_score,0.561,higher,repository_readme,V-Mem README,36916b14dc5241e04acbf5cd0f3c40799bc09550,source_only,Not interchangeable with Mem-Gallery Table 4
mem-gallery,v-mem-readme-gpt4o-mini-judge,1711,m2a,llm_judge_score,0.314,higher,repository_readme,V-Mem README,36916b14dc5241e04acbf5cd0f3c40799bc09550,source_only,Not interchangeable with Mem-Gallery Table 4
mem-gallery,v-mem-readme-gpt4o-mini-judge,1711,a-mem,llm_judge_score,0.460,higher,repository_readme,V-Mem README,36916b14dc5241e04acbf5cd0f3c40799bc09550,source_only,Protocol-dependent discrepancy is retained
mem-gallery,v-mem-readme-gpt4o-mini-judge,1711,v-mem,llm_judge_score,0.825,higher,repository_readme,V-Mem README,36916b14dc5241e04acbf5cd0f3c40799bc09550,source_only,V-Mem source-reported
locomo,v-mem-readme-gpt4o-mini-judge,1540,omni-simplemem,llm_judge_score,0.583,higher,repository_readme,V-Mem README,36916b14dc5241e04acbf5cd0f3c40799bc09550,source_only,Non-adversarial subset
locomo,v-mem-readme-gpt4o-mini-judge,1540,m2a,llm_judge_score,0.422,higher,repository_readme,V-Mem README,36916b14dc5241e04acbf5cd0f3c40799bc09550,source_only,Non-adversarial subset
locomo,v-mem-readme-gpt4o-mini-judge,1540,a-mem,llm_judge_score,0.512,higher,repository_readme,V-Mem README,36916b14dc5241e04acbf5cd0f3c40799bc09550,source_only,Non-adversarial subset
locomo,v-mem-readme-gpt4o-mini-judge,1540,v-mem,llm_judge_score,0.690,higher,repository_readme,V-Mem README,36916b14dc5241e04acbf5cd0f3c40799bc09550,source_only,V-Mem source-reported
causal-locomo,cmi-released-run-20260502-193237,87,cmi,task_score,0.845784,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,GPT-4.1 agent and GPT-5 judge via custom endpoint
causal-locomo,cmi-released-run-20260502-193237,87,cmi,task_success_rate,0.816092,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,609 predictions and zero recorded failures
causal-locomo,cmi-released-run-20260502-193237,87,cmi,useful_memory_f1,0.875479,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Released run
causal-locomo,cmi-released-run-20260502-193237,87,cmi,harmful_memory_rejection,0.990230,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Released run
causal-locomo,cmi-released-run-20260502-193237,87,cmi,poisoned_memory_adoption,0.000000,lower,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Released run
causal-locomo,cmi-released-run-20260502-193237,87,full-memory-text,task_score,0.514685,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Full history row
causal-locomo,cmi-released-run-20260502-193237,87,full-memory-text,task_success_rate,0.218391,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Full history row
causal-locomo,cmi-released-run-20260502-193237,87,full-memory-text,useful_memory_f1,0.307608,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Full history row
causal-locomo,cmi-released-run-20260502-193237,87,full-memory-text,harmful_memory_rejection,0.000000,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Full history row
causal-locomo,cmi-released-run-20260502-193237,87,full-memory-text,poisoned_memory_adoption,0.620690,lower,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Full history row
causal-locomo,cmi-released-run-20260502-193237,87,graph-memory,task_score,0.824371,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Graph row
causal-locomo,cmi-released-run-20260502-193237,87,graph-memory,task_success_rate,0.758621,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Graph row
causal-locomo,cmi-released-run-20260502-193237,87,graph-memory,useful_memory_f1,0.468966,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Graph row
causal-locomo,cmi-released-run-20260502-193237,87,graph-memory,harmful_memory_rejection,0.550000,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Graph row
causal-locomo,cmi-released-run-20260502-193237,87,graph-memory,poisoned_memory_adoption,0.586207,lower,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Graph row
causal-locomo,cmi-released-run-20260502-193237,87,no-memory,task_score,0.429304,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,No-memory row
causal-locomo,cmi-released-run-20260502-193237,87,no-memory,task_success_rate,0.034483,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,No-memory row
causal-locomo,cmi-released-run-20260502-193237,87,no-memory,useful_memory_f1,0.000000,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,No-memory row
causal-locomo,cmi-released-run-20260502-193237,87,no-memory,harmful_memory_rejection,1.000000,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,No-memory row
causal-locomo,cmi-released-run-20260502-193237,87,no-memory,poisoned_memory_adoption,0.000000,lower,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,No-memory row
causal-locomo,cmi-released-run-20260502-193237,87,reflection-memory,task_score,0.844946,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Reflection row
causal-locomo,cmi-released-run-20260502-193237,87,reflection-memory,task_success_rate,0.793103,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Reflection row
causal-locomo,cmi-released-run-20260502-193237,87,reflection-memory,useful_memory_f1,0.486207,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Reflection row
causal-locomo,cmi-released-run-20260502-193237,87,reflection-memory,harmful_memory_rejection,0.556897,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Reflection row
causal-locomo,cmi-released-run-20260502-193237,87,reflection-memory,poisoned_memory_adoption,0.540230,lower,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Reflection row
causal-locomo,cmi-released-run-20260502-193237,87,summary-memory,task_score,0.723383,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Summary row
causal-locomo,cmi-released-run-20260502-193237,87,summary-memory,task_success_rate,0.586207,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Summary row
causal-locomo,cmi-released-run-20260502-193237,87,summary-memory,useful_memory_f1,0.307608,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Summary row
causal-locomo,cmi-released-run-20260502-193237,87,summary-memory,harmful_memory_rejection,0.000000,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Summary row
causal-locomo,cmi-released-run-20260502-193237,87,summary-memory,poisoned_memory_adoption,0.620690,lower,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Summary row
causal-locomo,cmi-released-run-20260502-193237,87,vector-memory,task_score,0.839112,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Vector row
causal-locomo,cmi-released-run-20260502-193237,87,vector-memory,task_success_rate,0.781609,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Vector row
causal-locomo,cmi-released-run-20260502-193237,87,vector-memory,useful_memory_f1,0.501149,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Vector row
causal-locomo,cmi-released-run-20260502-193237,87,vector-memory,harmful_memory_rejection,0.565517,higher,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Vector row
causal-locomo,cmi-released-run-20260502-193237,87,vector-memory,poisoned_memory_adoption,0.609195,lower,released_run_artifact,outputs/runs/run_20260502_193237/metrics_by_agent.csv,65a66cb4347aeeb62a870132269e8a983211e036,source_only,Vector row
