implementation_id,display_name,run_status,slice_family,slice_value,n_expected,n_valid,correct_ratio,hallucination_ratio,omission_ratio,answer_f1,answer_bleu1,retrieval_hit_rate,retrieval_recall_at_10,retrieval_ndcg_at_10,run_id,artifact_sha256
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/minecraft,709,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/embodied/omnigibson,868,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/gui/css,408,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/gui/excel,311,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/gui/file_mgmt,273,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/gui/image_edit,364,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/gui/mobile,289,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/gui/web,327,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/gui/webarena_lite,792,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,agent/gui/word_docs,324,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,lifelong/personal,440,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,lifelong/project/academic,110,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,lifelong/project/education,110,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,lifelong/project/finance,110,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,lifelong/project/health,110,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,lifelong/project/software,110,,,,,,,,,,,
wma-dummy,Dummy / No Memory,PENDING,subcategory,lifelong/project/startup,110,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,overall,overall,7906,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,CMR,548,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,DU,606,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,FR,591,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,KR,593,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,MB,615,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,MC,604,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,TR,582,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,TTL,582,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,UNKNOWN,1356,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,VFR,614,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,VS,609,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,question_type,VU,606,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,scope,agent,6806,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,scope,lifelong,1100,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,task_family,agent/embodied,3718,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,task_family,agent/gui,3088,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,task_family,lifelong/personal,440,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,task_family,lifelong/project,660,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,difficulty,easy,1450,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,difficulty,hard,3047,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,difficulty,medium,3409,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,evidence_modality,image,1891,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,evidence_modality,image+memory,4050,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,evidence_modality,memory,1323,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,evidence_modality,none,642,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/eb_alfred_base,210,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/eb_alfred_long_horizon,218,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/eb_alfred_visual_appearance,161,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/eb_nav_base,217,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/eb_nav_common_sense,217,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/eb_nav_complex_instruction,214,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/eb_nav_long_horizon,262,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/eb_nav_visual_appearance,216,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/minecraft,709,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/embodied/omnigibson,868,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/gui/css,408,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/gui/excel,311,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/gui/file_mgmt,273,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/gui/image_edit,364,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/gui/mobile,289,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/gui/web,327,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/gui/webarena_lite,792,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,agent/gui/word_docs,324,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,lifelong/personal,440,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,lifelong/project/academic,110,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,lifelong/project/education,110,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,lifelong/project/finance,110,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,lifelong/project/health,110,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,lifelong/project/software,110,,,,,,,,,,,
wma-base-model,BaseModel (answer-only),PENDING,subcategory,lifelong/project/startup,110,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,overall,overall,7906,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,CMR,548,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,DU,606,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,FR,591,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,KR,593,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,MB,615,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,MC,604,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,TR,582,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,TTL,582,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,UNKNOWN,1356,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,VFR,614,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,VS,609,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,question_type,VU,606,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,scope,agent,6806,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,scope,lifelong,1100,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,task_family,agent/embodied,3718,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,task_family,agent/gui,3088,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,task_family,lifelong/personal,440,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,task_family,lifelong/project,660,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,difficulty,easy,1450,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,difficulty,hard,3047,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,difficulty,medium,3409,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,evidence_modality,image,1891,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,evidence_modality,image+memory,4050,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,evidence_modality,memory,1323,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,evidence_modality,none,642,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/eb_alfred_long_horizon,218,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/eb_alfred_visual_appearance,161,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/eb_nav_base,217,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/eb_nav_common_sense,217,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/eb_nav_complex_instruction,214,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/eb_nav_long_horizon,262,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/eb_nav_visual_appearance,216,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/minecraft,709,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/embodied/omnigibson,868,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/gui/css,408,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/gui/excel,311,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/gui/file_mgmt,273,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/gui/image_edit,364,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/gui/mobile,289,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/gui/web,327,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/gui/webarena_lite,792,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,agent/gui/word_docs,324,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,lifelong/personal,440,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,lifelong/project/academic,110,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,lifelong/project/education,110,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,lifelong/project/finance,110,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,lifelong/project/health,110,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,lifelong/project/software,110,,,,,,,,,,,
wma-fumemory,FUMemory,PENDING,subcategory,lifelong/project/startup,110,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,overall,overall,7906,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,CMR,548,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,DU,606,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,FR,591,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,KR,593,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,MB,615,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,MC,604,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,TR,582,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,TTL,582,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,UNKNOWN,1356,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,VFR,614,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,VS,609,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,question_type,VU,606,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,scope,agent,6806,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,scope,lifelong,1100,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,task_family,agent/embodied,3718,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,task_family,agent/gui,3088,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,task_family,lifelong/personal,440,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,task_family,lifelong/project,660,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,difficulty,easy,1450,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,difficulty,hard,3047,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,difficulty,medium,3409,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,evidence_modality,image,1891,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,evidence_modality,image+memory,4050,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,evidence_modality,memory,1323,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,evidence_modality,none,642,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/eb_alfred_long_horizon,218,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/eb_alfred_visual_appearance,161,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/eb_nav_base,217,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/eb_nav_common_sense,217,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/eb_nav_complex_instruction,214,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/eb_nav_long_horizon,262,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/eb_nav_visual_appearance,216,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/minecraft,709,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/embodied/omnigibson,868,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/gui/css,408,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/gui/excel,311,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/gui/file_mgmt,273,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/gui/image_edit,364,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/gui/mobile,289,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/gui/web,327,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/gui/webarena_lite,792,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,agent/gui/word_docs,324,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,lifelong/personal,440,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,lifelong/project/academic,110,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,lifelong/project/education,110,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,lifelong/project/finance,110,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,lifelong/project/health,110,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,lifelong/project/software,110,,,,,,,,,,,
wma-stmemory,STMemory,PENDING,subcategory,lifelong/project/startup,110,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,overall,overall,7906,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,CMR,548,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,DU,606,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,FR,591,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,KR,593,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,MB,615,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,MC,604,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,TR,582,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,TTL,582,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,UNKNOWN,1356,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,VFR,614,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,VS,609,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,question_type,VU,606,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,scope,agent,6806,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,scope,lifelong,1100,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,task_family,agent/embodied,3718,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,task_family,agent/gui,3088,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,task_family,lifelong/personal,440,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,task_family,lifelong/project,660,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,difficulty,easy,1450,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,difficulty,hard,3047,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,difficulty,medium,3409,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,evidence_modality,image,1891,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,evidence_modality,image+memory,4050,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,evidence_modality,memory,1323,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,evidence_modality,none,642,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/eb_alfred_long_horizon,218,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/eb_alfred_visual_appearance,161,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/eb_nav_base,217,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/eb_nav_common_sense,217,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/eb_nav_complex_instruction,214,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/eb_nav_long_horizon,262,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/eb_nav_visual_appearance,216,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/minecraft,709,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/embodied/omnigibson,868,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/gui/css,408,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/gui/excel,311,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/gui/file_mgmt,273,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/gui/image_edit,364,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/gui/mobile,289,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/gui/web,327,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/gui/webarena_lite,792,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,agent/gui/word_docs,324,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,lifelong/personal,440,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,lifelong/project/academic,110,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,lifelong/project/education,110,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,lifelong/project/finance,110,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,lifelong/project/health,110,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,lifelong/project/software,110,,,,,,,,,,,
wma-ltmemory,LTMemory,PENDING,subcategory,lifelong/project/startup,110,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,overall,overall,7906,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,CMR,548,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,DU,606,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,FR,591,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,KR,593,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,MB,615,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,MC,604,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,TR,582,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,TTL,582,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,UNKNOWN,1356,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,VFR,614,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,VS,609,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,question_type,VU,606,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,scope,agent,6806,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,scope,lifelong,1100,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,task_family,agent/embodied,3718,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,task_family,agent/gui,3088,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,task_family,lifelong/personal,440,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,task_family,lifelong/project,660,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,difficulty,easy,1450,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,difficulty,hard,3047,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,difficulty,medium,3409,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,evidence_modality,image,1891,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,evidence_modality,image+memory,4050,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,evidence_modality,memory,1323,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,evidence_modality,none,642,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,subcategory,agent/embodied/eb_alfred_base,210,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,subcategory,agent/embodied/eb_alfred_common_sense,212,,,,,,,,,,,
wma-gamemory,GAMemory,PENDING,subcategory,agent/embodied/eb_alfred_complex_instruction,214,,,,,,,,,,,
